GAME_DATE,last_name,first_name,Injury_Status,Reason
2024-10-25,Brooks,Dillon,Probable,"Injury/Illness-RightAnteriorKnee;
Pain"
2024-10-25,Whitmore,Cam,Probable,Injury/Illness-LeftKnee;Pain
2024-10-25,Curry,Stephen,Questionable,Injury/Illness-RightHip;Contusion
2024-10-25,Green,Draymond,Questionable,Injury/Illness-LeftKnee;Contusion
2024-10-25,Melton,De'Anthony,Questionable,Injury/Illness-RightChest;Contusion
2024-10-25,Podziemski,Brandin,Available,
2024-10-25,Collier,Isaiah,Out,"Injury/Illness-RightHamstring;
Strain"
2024-10-25,Juzang,Johnny,Out,Injury/Illness-RightThumb;Sprain
2024-10-25,MurphyIII,Trey,Out,"Injury/Illness-RightHamstring;
Strain"
2024-10-25,Murray,Dejounte,Out,Injury/Illness-LeftHand;Fracture
2024-10-25,Sharpe,Shaedon,Out,"Injury/Illness-LeftShoulder;Labral
Tear"
2024-10-25,Thybulle,Matisse,Out,"Injury/Illness-RightKnee;
Inflammation"
2024-10-25,WilliamsIII,Robert,Out,Injury/Illness-LeftHamstring;Strain
2024-10-25,Allen,Grayson,Probable,"Injury/Illness-RightAchilles;
Soreness"
2024-10-25,Beal,Bradley,Probable,"Injury/Illness-RightShoulder;
Soreness"
2024-10-25,Okogie,Josh,Out,"Injury/Illness-RightHamstring;
Strain"
2024-10-25,Hood-Schifino,Jalen,Doubtful,Injury/Illness-Illness;N/A
2024-10-25,Koloko,Christian,Out,"ReturntoCompetition
Reconditioning"
2024-10-25,Vanderbilt,Jarred,Out,"Injury/Illness-RightFoot;Surgery
Recovery"
2024-10-25,Wood,Christian,Out,"Injury/Illness-RightKnee;Surgery
Recovery"
2024-10-26,Bamba,Mo,Out,Injury/Illness-LeftKnee;Soreness
2024-10-26,Leonard,Kawhi,Out,"Injury/Illness-RightKnee;Injury
Recovery"
2024-10-26,HolmesII,DaRon,Out,"Injury/Illness-RightAchillesTendon;
Repair"
2024-10-26,Hauser,Sam,Out,Injury/Illness-LowBack;Pain
2024-10-26,Porzingis,Kristaps,Out,"Injury/Illness-LeftPosteriorTibialis
Tendon;SurgeryRehabilitation"
2024-10-26,Bey,Saddiq,Out,Injury/Illness-LeftKnee;ACLsurgery
2024-10-26,Brogdon,Malcolm,Out,"Injury/Illness-RightHand;Thumb
surgery"
2024-10-26,Carrington,Carlton,Probable,Injury/Illness-LeftAnkle;Sprain
2024-10-26,Christopher,Josh,Available,"Injury/Illness-RightBigToe;
Contusion"
2024-10-26,Richardson,Josh,Questionable,"Injury/Illness-LeftHeel;
Enthesopathy"
2024-10-26,Ware,Kel'el,Out,Injury/Illness-Stomach;Illness
2024-10-26,Hartenstein,Isaiah,Out,Injury/Illness-LeftHand;Fracture
2024-10-26,Topic,Nikola,Out,Injury/Illness-LeftKnee;Surgery
2024-10-26,Williams,Jaylin,Out,"Injury/Illness-RightHamstring;
Strain"
2024-10-26,Williams,Kenrich,Out,Injury/Illness-RightKnee;Surgery
2024-10-26,Jones,Tre,Out,Injury/Illness-RightAnkle;Sprain
2024-10-26,Vassell,Devin,Out,"Injury/Illness-RightThirdMetatarsal
Head;StressReactionSurgery"
2024-10-26,Exum,Dante,Out,Injury/Illness-RightWrist;Surgery
2024-10-26,Carter,Devin,Out,Injury/Illness-LeftShoulder;Surgery
2024-10-26,Robinson,Orlando,Out,Injury/Illness-LeftMCL;Sprain
2024-10-27,Embiid,Joel,Out,"Injury/Illness-LeftKnee;Injury
Management"
2024-10-27,George,Paul,Out,Injury/Illness-LeftKnee;BoneBruise
2024-10-27,Wiseman,James,Out,"Injury/Illness-LeftAchillesTendon;
Tear"
2024-10-27,Antetokounmpo,Giannis,Probable,"Injury/Illness-RightPatella;
Tendinitis"
2024-10-27,Green,AJ,Probable,"Injury/Illness-RightGreatToe;
Sprain"
2024-10-27,Middleton,Khris,Out,"Injury/Illness-BilateralAnkle;
Surgery"
2024-10-27,Bogdanovic,Bojan,Out,"Injury/Illness-LeftFoot;Injury
Recovery"
2024-10-27,Sharpe,Day'Ron,Out,Injury/Illness-LeftHamstring;Strain
2024-10-27,Watford,Trendon,Out,Injury/Illness-LeftHamstring;Strain
2024-10-27,MurphyIII,Trey,Out,Injury/Illness-RightHamstring;
2024-10-27,Murray,Dejounte,Out,Injury/Illness-LeftHand;Fracture
2024-10-27,Sharpe,Shaedon,Out,"Injury/Illness-LeftShoulder;Labral
Tear"
2024-10-27,Thybulle,Matisse,Out,"Injury/Illness-RightKnee;
Inflammation"
2024-10-27,WilliamsIII,Robert,Out,Injury/Illness-LeftHamstring;Strain
2024-10-27,Bogdanovic,Bogdan,Out,"Injury/Illness-RightHamstring;
Tendinopathy"
2024-10-27,Bufkin,Kobe,Out,"Injury/Illness-RightShoulder;
Subluxation"
2024-10-27,Lundy,Seth,Out,Injury/Illness-LeftAnkle;Sprain
2024-10-28,daSilva,Tristan,Questionable,Injury/Illness-N/a;Illness
2024-10-28,Isaac,Jonathan,Questionable,Injury/Illness-LeftHip;Contusion
2024-10-28,Strus,Max,Out,Injury/Illness-RightAnkle;Sprain
2024-10-28,Achiuwa,Precious,Out,"Injury/Illness-LeftHamstring;
Strained"
2024-10-28,Hart,Josh,Questionable,"Injury/Illness-RightAnkle;
Impingement"
2024-10-28,McBride,Miles,Probable,"Injury/Illness-LeftKnee;Hyper
Extension"
2024-10-28,Robinson,Mitchell,Out,Injury/Illness-LeftAnkle;Surgery
2024-10-28,HolmesII,DaRon,Out,"Injury/Illness-RightAchillesTendon;
Repair"
2024-10-28,Barrett,RJ,Questionable,"Injury/Illness-RightShoulder;AC
Joint;Sprain"
2024-10-28,Brown,Bruce,Out,"Injury/Illness-RightKnee;
ArthroscopicSurgicalProcedure"
2024-10-28,Olynyk,Kelly,Out,Injury/Illness-Back;Lumbar;Strain
2024-10-28,Quickley,Immanuel,Doubtful,"Injury/Illness-RightPelvic;
Contusion"
2024-10-28,Klintman,Bobi,Out,Injury/Illness-RightCalf;Contusion
2024-10-28,Thompson,Ausar,Out,"ReturntoCompetition
Reconditioning"
2024-10-28,Hauser,Sam,Questionable,Injury/Illness-LowBack;Pain
2024-10-28,Porzingis,Kristaps,Out,"Injury/Illness-LeftPosteriorTibialis
Tendon;SurgeryRehabilitation"
2024-10-28,Bey,Saddiq,Out,Injury/Illness-LeftKnee;ACLSurgery
2024-10-28,Brogdon,Malcolm,Out,"Injury/Illness-RightHand;Thumb
Surgery"
2024-10-28,Ball,Lonzo,Available,"Injury/Illness-LeftKnee;Surgery;
InjuryManagement"
2024-10-28,Jackson,GG,Out,"Injury/Illness-RightFifthMetatarsal;
Repair"
2024-10-28,Kennard,Luke,Out,"Injury/Illness-LeftFoot;Muscle
Strain"
2024-10-28,Konchar,John,Questionable,Injury/Illness-RightFoot;Soreness
2024-10-28,Morant,Ja,Questionable,Injury/Illness-RightThigh;Soreness
2024-10-28,Spencer,Cam,Out,Injury/Illness-RightAnkle;Sprain
2024-10-28,WilliamsJr.,Vince,Out,"Injury/Illness-LeftTibial;Stress
Reaction"
2024-10-28,Adams,Steven,Questionable,"Injury/Illness-RightKnee;Injury
Recovery;LeftCalfStrain"
2024-10-28,Jones,Tre,Out,Injury/Illness-RightAnkle;Sprain
2024-10-28,Vassell,Devin,Out,"Injury/Illness-RightThirdMetatarsal
Head;StressReactionSurgery"
2024-10-28,Collier,Isaiah,Out,Injury/Illness-RightHamstring;
2024-10-28,Juzang,Johnny,Out,Injury/Illness-RightThumb;Sprain
2024-10-28,Exum,Dante,Out,Injury/Illness-RightWrist;Surgery
2024-10-28,Kleber,Maxi,Questionable,"Injury/Illness-RightHamstring;
Strain"
2024-10-28,Koloko,Christian,Out,"ReturntoCompetition
Reconditioning"
2024-10-28,Vanderbilt,Jarred,Out,"Injury/Illness-RightFoot;Surgery
Recovery"
2024-10-28,Wood,Christian,Out,"Injury/Illness-LeftKnee;Surgery
Recovery"
2024-10-28,Beal,Bradley,Questionable,Injury/Illness-RightElbow;Soreness
2024-10-28,Okogie,Josh,Out,Injury/Illness-RightHamstring;
2024-10-28,Carter,Devin,Out,Injury/Illness-LeftShoulder;Surgery
2024-10-28,Robinson,Orlando,Out,Injury/Illness-LeftMCL;Sprain
2024-10-29,Bogdanovic,Bojan,Out,"Injury/Illness-LeftFoot;Injury
Recovery"
2024-10-29,Sharpe,Day'Ron,Out,Injury/Illness-LeftHamstring;Strain
2024-10-29,Simmons,Ben,Out,"Injury/Illness-LowerBack;Injury
Management"
2024-10-29,Watford,Trendon,Out,Injury/Illness-LeftHamstring;Strain
2024-10-29,MurphyIII,Trey,Out,"Injury/Illness-RightHamstring;
Strain"
2024-10-29,Murray,Dejounte,Out,Injury/Illness-LeftHand;Fracture
2024-10-29,Curry,Stephen,Out,Injury/Illness-LeftPeroneal;Strain
2024-10-29,Melton,De'Anthony,Out,"Injury/Illness-RightFacet;
Inflammation"
2024-10-29,Podziemski,Brandin,Available,Injury/Illness-N/a;Facemask
2024-10-29,Wiggins,Andrew,Questionable,Injury/Illness-LowBack;Strain
2024-10-30,Bogdanovic,Bogdan,Out,"Injury/Illness-RightHamstring;
Tendinopathy"
2024-10-30,Bufkin,Kobe,Out,"Injury/Illness-RightShoulder;
Subluxation"
2024-10-30,Daniels,Dyson,Out,"Injury/Illness-RightHipFlexor;
Strain"
2024-10-30,Hunter,De'Andre,Questionable,"Injury/Illness-RightKnee;
Inflammation"
2024-10-30,Krejci,Vit,Out,Injury/Illness-RightAdductor;Strain
2024-10-30,Bey,Saddiq,Out,"Injury/Illness-LeftKnee;ACL
SURGERY"
2024-10-30,Brogdon,Malcolm,Out,"Injury/Illness-RightHand;Thumb
Surgery"
2024-10-30,Kuzma,Kyle,Out,Injury/Illness-RightGroin;Strain
2024-10-30,Hauser,Sam,Probable,"Injury/Illness-LowBack;Injury
Management"
2024-10-30,Porzingis,Kristaps,Out,"Injury/Illness-LeftPosteriorTibialis
Tendon;SurgeryRehabilitation"
2024-10-30,Furphy,Johnny,Questionable,Injury/Illness-N/A;StrepThroat
2024-10-30,Turner,Myles,Questionable,Injury/Illness-LeftAnkle;Sprain
2024-10-30,Wiseman,James,Out,"Injury/Illness-LeftAchillesTendon;
Tear"
2024-10-30,Klintman,Bobi,Out,Injury/Illness-RightCalf;Contusion
2024-10-30,Thompson,Ausar,Out,"ReturntoCompetition
Reconditioning"
2024-10-30,Embiid,Joel,Out,"Injury/Illness-LeftKnee;Injury
Management"
2024-10-30,George,Paul,Out,Injury/Illness-LeftKnee;BoneBruise
2024-10-30,Koloko,Christian,Out,"ReturntoCompetition
Reconditioning"
2024-10-30,Reaves,Austin,Probable,Injury/Illness-LeftThigh;Contusion
2024-10-30,Russell,D'Angelo,Questionable,Injury/Illness-LowBack;Soreness
2024-10-30,Vanderbilt,Jarred,Out,"Injury/Illness-RightFoot;Surgery
Recovery"
2024-10-30,Wood,Christian,Out,"Injury/Illness-LeftKnee;Surgery
Recovery"
2024-10-30,PorterJr.,Craig,Out,Injury/Illness-RightThumb;Sprain
2024-10-30,Strus,Max,Out,Injury/Illness-RightAnkle;Sprain
2024-10-30,Barnes,Scottie,Out,Injury/Illness-RightEye;Contusion
2024-10-30,Brown,Bruce,Out,"Injury/Illness-RightKnee;
ArthroscopicSurgicalProcedure"
2024-10-30,Olynyk,Kelly,Out,Injury/Illness-Back;Lumbarstrain
2024-10-30,Quickley,Immanuel,Doubtful,"Injury/Illness-RightPelvic;
Contusion"
2024-10-30,Jeffries,DaQuan,Out,Injury/Illness-RightHand;Fracture
2024-10-30,Miller,Brandon,Out,Injury/Illness-LeftGlute;Strain
2024-10-30,Williams,Mark,Out,"Injury/Illness-LeftFoot;Tendon
Strain"
2024-10-30,Achiuwa,Precious,Out,"Injury/Illness-LeftHamstring;
Strained"
2024-10-30,Hart,Josh,Questionable,"Injury/Illness-RightLeg;LowerLeg
Contusion"
2024-10-30,Robinson,Mitchell,Out,Injury/Illness-LeftAnkle;Surgery
2024-10-30,Edey,Zach,Questionable,Injury/Illness-RightCalf;Soreness
2024-10-30,Jackson,GG,Out,"Injury/Illness-RightFifthMetatarsal;
Repair"
2024-10-30,Kennard,Luke,Out,"Injury/Illness-LeftFoot;Muscle
Strain"
2024-10-30,Konchar,John,Questionable,"Injury/Illness-RightPosteriorTibial;
TibialTendinitis"
2024-10-30,Morant,Ja,Questionable,Injury/Illness-RightThigh;Soreness
2024-10-30,Spencer,Cam,Out,Injury/Illness-RightAnkle;Sprain
2024-10-30,WilliamsJr.,Vince,Out,"Injury/Illness-LeftTibial;Stress
Reaction"
2024-10-30,Bitadze,Goga,Questionable,"Injury/Illness-LeftFoot;Tendon
Strain"
2024-10-30,Isaac,Jonathan,Questionable,Injury/Illness-LeftHip;Contusion
2024-10-30,Ball,Lonzo,Questionable,Injury/Illness-RightWrist;Soreness
2024-10-30,Smith,Jalen,Questionable,Injury/Illness-LeftAnkle;Sprain
2024-10-30,Jones,Tre,Out,Injury/Illness-RightAnkle;Sprain
2024-10-30,Vassell,Devin,Out,"Injury/Illness-RightThirdMetatarsal
Head;StressReactionSurgery"
2024-10-30,Hartenstein,Isaiah,Out,Injury/Illness-LeftHand;Fracture
2024-10-30,Topic,Nikola,Out,Injury/Illness-LeftKnee;Surgery
2024-10-30,Williams,Jaylin,Out,"Injury/Illness-RightHamstring;
Strain"
2024-10-30,Williams,Kenrich,Out,Injury/Illness-RightKnee;Surgery
2024-10-30,Sharpe,Shaedon,Out,"Injury/Illness-LeftShoulder;Labral
Tear"
2024-10-30,Thybulle,Matisse,Out,"Injury/Illness-RightKnee;Injury
Maintenance"
2024-10-30,WilliamsIII,Robert,Out,Injury/Illness-LeftHamstring;Strain
2024-10-30,Bamba,Mo,Out,"Injury/Illness-LeftKnee;Injury
Recovery"
2024-10-30,Leonard,Kawhi,Out,"Injury/Illness-RightKnee;Injury
Recovery"
2024-10-31,Antetokounmpo,Giannis,Probable,"Injury/Illness-RightPatella;
Tendinitis"
2024-10-31,Middleton,Khris,Out,"Injury/Illness-BilateralAnkle;
Surgery"
2024-10-31,Adams,Steven,Questionable,"Injury/Illness-RightKnee;Injury
Recovery;LeftCalfStrain"
2024-10-31,Exum,Dante,Out,Injury/Illness-RightWrist;Surgery
2024-10-31,Kleber,Maxi,Out,"Injury/Illness-RightHamstring;
Strain"
2024-10-31,Collier,Isaiah,Out,"Injury/Illness-RightHamstring;
Strain"
2024-10-31,Hendricks,Taylor,Out,Injury/Illness-RightFibula;Fracture
2024-10-31,Markkanen,Lauri,Questionable,Injury/Illness-LowBack;Spasms
2024-10-31,Beal,Bradley,Questionable,Injury/Illness-RightElbow;Sprain
2024-10-31,Okogie,Josh,Out,"Injury/Illness-RightHamstring;
Strain"
2024-11-01,Hauser,Sam,Available,"Injury/Illness-LowBack;Injury
Management"
2024-11-01,Horford,Al,Out,Rest
2024-11-01,Porzingis,Kristaps,Out,"Injury/Illness-LeftPosteriorTibialis
Tendon;SurgeryRehabilitation"
2024-11-01,Jeffries,DaQuan,Out,Injury/Illness-RightHand;Fracture
2024-11-01,Miller,Brandon,Questionable,Injury/Illness-LeftGlute;Strain
2024-11-01,Williams,Mark,Out,"Injury/Illness-LeftFoot;Tendon
Strain"
2024-11-01,Achiuwa,Precious,Out,"Injury/Illness-LeftHamstring;
Strained"
2024-11-01,Robinson,Mitchell,Out,Injury/Illness-LeftAnkle;Surgery
2024-11-01,Towns,Karl-Anthony,Questionable,Injury/Illness-LeftWrist;Sprained
2024-11-01,Klintman,Bobi,Out,Injury/Illness-RightCalf;Contusion
2024-11-01,Thompson,Ausar,Out,ReturntoCompetition
2024-11-01,Banchero,Paolo,Out,Injury/Illness-RightOblique;Tear
2024-11-01,Bitadze,Goga,Questionable,"Injury/Illness-LeftFoot;Tendon
Strain"
2024-11-01,Wagner,Franz,Questionable,Injury/Illness-N/A;Illness
2024-11-01,PorterJr.,Craig,Doubtful,Injury/Illness-RightThumb;Sprain
2024-11-01,Strus,Max,Out,Injury/Illness-RightAnkle;Sprain
2024-11-01,Ball,Lonzo,Out,Injury/Illness-RightWrist;Sprain
2024-11-01,LaVine,Zach,Questionable,"Injury/Illness-Left
Acromioclavicular;Sprain"
2024-11-01,Smith,Jalen,Questionable,Injury/Illness-LeftKnee;Effusion
2024-11-01,Bogdanovic,Bojan,Out,"Injury/Illness-LeftFoot;Injury
Recovery"
2024-11-01,Sharpe,Day'Ron,Out,Injury/Illness-LeftHamstring;Strain
2024-11-01,Watford,Trendon,Probable,Injury/Illness-LeftHamstring;Strain
2024-11-01,Davis,Anthony,Probable,Injury/Illness-RightHip;Soreness
2024-11-01,Russell,D'Angelo,Probable,Injury/Illness-LowBack;Soreness
2024-11-01,Vanderbilt,Jarred,Out,"Injury/Illness-RightFoot;Surgery
Recovery"
2024-11-01,Wood,Christian,Out,"Injury/Illness-LeftKnee;Surgery
Recovery"
2024-11-01,Barnes,Scottie,Out,"Injury/Illness-RightOribital;
Fracture"
2024-11-01,Brown,Bruce,Out,"Injury/Illness-RightKnee;
Arthroscopicsurgicalprocedure"
2024-11-01,Carton,D.J.,Available,-
2024-11-01,Olynyk,Kelly,Out,Injury/Illness-Back;Lumbarstrain
2024-11-01,Quickley,Immanuel,Doubtful,"Injury/Illness-RightPelvic;
Contusion"
2024-11-01,Walter,Ja'Kobe,Questionable,"Injury/Illness-RightShoulder;AC
joint-sprain"
2024-11-01,Carter,Devin,Out,Injury/Illness-LeftShoulder;Surgery
2024-11-01,Robinson,Orlando,Out,Injury/Illness-LeftMCL;Sprain
2024-11-01,Bogdanovic,Bogdan,Out,"Injury/Illness-RightHamstring;
Tendinopathy"
2024-11-01,Bufkin,Kobe,Out,"Injury/Illness-RightShoulder;
Subluxation"
2024-11-01,Daniels,Dyson,Out,"Injury/Illness-RightHipFlexor;
Strain"
2024-11-01,Hunter,De'Andre,Out,"Injury/Illness-RightKnee;Injury
Management"
2024-11-01,Krejci,Vit,Out,Injury/Illness-RightAdductor;Strain
2024-11-01,Nembhard,Andrew,Questionable,Injury/Illness-LeftKnee;Soreness
2024-11-01,Turner,Myles,Questionable,Injury/Illness-LeftAnkle;Sprain
2024-11-01,Wiseman,James,Out,"Injury/Illness-LeftAchillesTendon;
Tear"
2024-11-01,Hawkins,Jordan,Questionable,Injury/Illness-LowerBack;Spasms
2024-11-01,Jones,Herbert,Out,Injury/Illness-RightShoulder;Strain
2024-11-01,McCollum,CJ,Out,"Injury/Illness-RightAdductor;
Soreness"
2024-11-01,Missi,Yves,Questionable,"Injury/Illness-RightLower
Abdominal;Contusion"
2024-11-01,MurphyIII,Trey,Out,"Injury/Illness-RightHamstring;
Strain"
2024-11-01,Murray,Dejounte,Out,Injury/Illness-LeftHand;Fracture
2024-11-01,Theis,Daniel,Questionable,Injury/Illness-LeftAnkle;Soreness
2024-11-01,Cancar,Vlatko,Probable,Injury/Illness-RightAnkle;Sprain
2024-11-01,Gordon,Aaron,Probable,Injury/Illness-RightKnee;Contusion
2024-11-01,HolmesII,DaRon,Out,"Injury/Illness-RightAchillesTendon;
Repair"
2024-11-01,Hartenstein,Isaiah,Out,Injury/Illness-LeftHand;Fracture
2024-11-01,Topic,Nikola,Out,Injury/Illness-LeftKnee;Surgery
2024-11-01,Williams,Jaylin,Out,"Injury/Illness-RightHamstring;
Strain"
2024-11-01,Williams,Kenrich,Out,Injury/Illness-RightKnee;Surgery
2024-11-01,Sharpe,Shaedon,Out,"Injury/Illness-LeftShoulder;Labral
Tear"
2024-11-01,Thybulle,Matisse,Out,"Injury/Illness-RightKnee;Injury
Maintenance"
2024-11-01,WilliamsIII,Robert,Out,Injury/Illness-LeftHamstring;Strain
2024-11-02,Bane,Desmond,Out,Injury/Illness-RightOblique;Strain
2024-11-02,Jackson,GG,Out,"Injury/Illness-RightFifthMetatarsal;
Repair"
2024-11-02,Kennard,Luke,Out,"Injury/Illness-LeftFoot;Muscle
Strain"
2024-11-02,Konchar,John,Doubtful,Injury/Illness-RightQuad;Contusion
2024-11-02,Smart,Marcus,Out,Injury/Illness-RightAnkle;Sprain
2024-11-02,Spencer,Cam,Out,Injury/Illness-RightAnkle;Sprain
2024-11-02,WilliamsJr.,Vince,Out,"Injury/Illness-LeftTibial;Stress
Reaction"
2024-11-02,Embiid,Joel,Out,"Injury/Illness-LeftKnee;Injury
Management"
2024-11-02,George,Paul,Out,Injury/Illness-LeftKnee;BoneBruise
2024-11-02,Antetokounmpo,Giannis,Probable,Injury/Illness-RightPatella;
2024-11-02,Middleton,Khris,Out,"Injury/Illness-BilateralAnkle;
Surgery"
2024-11-02,Curry,Stephen,Out,Injury/Illness-LeftPeroneal;Strain
2024-11-02,Melton,De'Anthony,Out,"Injury/Illness-RightFacet;
Inflammation"
2024-11-02,Podziemski,Brandin,Available,Injury/Illness-N/a;Facemask
2024-11-02,Wiggins,Andrew,Probable,Injury/Illness-LowBack;Strain
2024-11-02,Adams,Steven,Out,"Injury/Illness-RightKnee;Injury
Recovery"
2024-11-02,Jones,Tre,Out,Injury/Illness-RightAnkle;Sprain
2024-11-02,Vassell,Devin,Out,"Injury/Illness-RightThirdMetatarsal
Head;StressReactionSurgery"
2024-11-02,Bey,Saddiq,Out,Injury/Illness-LeftACL;Surgery
2024-11-02,Brogdon,Malcolm,Out,Injury/Illness-RightThumb;Surgery
2024-11-02,Kuzma,Kyle,Out,Injury/Illness-RightGroin;Strain
2024-11-02,Beal,Bradley,Questionable,Injury/Illness-RightElbow;Sprain
2024-11-02,Clarkson,Jordan,Out,"Injury/Illness-LeftHeel;Plantar
Fasciitis"
2024-11-02,Collier,Isaiah,Out,"Injury/Illness-RightHamstring;
Strain"
2024-11-02,Hendricks,Taylor,Out,Injury/Illness-RightFibula;Fracture
2024-11-02,Markkanen,Lauri,Doubtful,Injury/Illness-LowBack;Spasms
2024-11-02,Bamba,Mo,Out,"Injury/Illness-LeftKnee;Injury
Recovery"
2024-11-02,Leonard,Kawhi,Out,"Injury/Illness-RightKnee;Injury
Recovery"
2024-11-03,Klintman,Bobi,Out,Injury/Illness-RightCalf;Contusion
2024-11-03,Thompson,Ausar,Out,"ReturntoCompetition
Reconditioning"
2024-11-03,Bogdanovic,Bojan,Out,"Injury/Illness-LeftFoot;Injury
Recovery"
2024-11-03,Sharpe,Day'Ron,Out,Injury/Illness-LeftHamstring;Strain
2024-11-03,Simmons,Ben,Questionable,"Injury/Illness-LowerBack;Injury
Management"
2024-11-03,Watford,Trendon,Out,Injury/Illness-LeftHamstring;Strain
2024-11-03,Bogdanovic,Bogdan,Out,"Injury/Illness-RightHamstring;
Tendinopathy"
2024-11-03,Bufkin,Kobe,Out,"Injury/Illness-RightShoulder;
Subluxation"
2024-11-03,Daniels,Dyson,Questionable,"Injury/Illness-RightHipFlexor;
Strain"
2024-11-03,Hunter,De'Andre,Out,"Injury/Illness-RightKnee;Injury
Management"
2024-11-03,Krejci,Vit,Out,Injury/Illness-RightAdductor;Strain
2024-11-03,Hawkins,Jordan,Questionable,Injury/Illness-LowBack;Tightness
2024-11-03,Jones,Herbert,Out,Injury/Illness-RightShoulder;Strain
2024-11-03,McCollum,CJ,Out,Injury/Illness-RightAdductor;Strain
2024-11-03,MurphyIII,Trey,Out,"Injury/Illness-RightHamstring;
Strain"
2024-11-03,Murray,Dejounte,Out,Injury/Illness-LeftHand;Fracture
2024-11-03,Banchero,Paolo,Out,Injury/Illness-RightOblique;Tear
2024-11-03,Bitadze,Goga,Questionable,"Injury/Illness-LeftFoot;Tendon
Strain"
2024-11-03,CarterJr.,Wendell,Questionable,Injury/Illness-RightKnee;Tendonitis
2024-11-03,Exum,Dante,Out,Injury/Illness-RightWrist;Surgery
2024-11-03,Kleber,Maxi,Out,"Injury/Illness-RightHamstring;
Strain"
2024-11-04,Antetokounmpo,Giannis,Questionable,Injury/Illness-RightAdductor;Strain
2024-11-04,Beauchamp,MarJon,Out,Injury/Illness-Non-covid;Illness
2024-11-04,Connaughton,Pat,Probable,Injury/Illness-LeftAdductor;Strain
2024-11-04,Middleton,Khris,Out,"Injury/Illness-BilateralAnkle;
Surgery"
2024-11-04,LeVert,Caris,Questionable,Injury/Illness-RightKnee;Soreness
2024-11-04,Strus,Max,Out,Injury/Illness-RightAnkle;Sprain
2024-11-04,Tyson,Jaylon,Out,Injury/Illness-LeftHip;Sprain
