Date,Team,Home/Away,Opp,Venue,W/L,Team Pts,Opp Pts,Spread,Transition_percent_O,Transition_percent_D,Total_Transition_percent
2025-02-22,LAL,Away,DEN,DEN,W,123,100,6.5,0.231,0.111,0.342
2025-02-20,LAL,Away,POR,POR,W,110,102,-2,0.146,0.235,0.381
2025-02-19,LAL,Home,CHA,LAL,L,97,100,-13,0.158,0.158,0.316
2025-02-12,LAL,Away,UTA,UTA,L,119,131,-9,0.098,0.194,0.292
2025-02-10,LAL,Home,UTA,LAL,W,132,113,-12,0.253,0.146,0.399
2025-02-08,LAL,Home,IND,LAL,W,124,117,4.5,0.08,0.19,0.27
2025-02-06,LAL,Home,GSW,LAL,W,120,112,-5,0.218,0.09,0.308
2025-02-04,LAL,Away,LAC,LAC,W,122,97,8.5,0.145,0.111,0.256
2025-02-01,LAL,Away,NYK,NYK,W,128,112,11,0.16,0.138,0.298
2025-01-30,LAL,Away,WAS,WAS,W,134,96,-8.5,0.211,0.158,0.369
2025-01-28,LAL,Away,PHI,PHI,L,104,118,-4.5,0.132,0.161,0.293
2025-01-27,LAL,Away,CHA,CHA,W,112,107,-5,0.17,0.117,0.287
2025-01-25,LAL,Away,GSW,GSW,W,118,108,-1,0.117,0.128,0.245
2025-01-23,LAL,Home,BOS,LAL,W,117,96,6.5,0.153,0.116,0.269
2025-01-21,LAL,Home,WAS,LAL,W,111,88,-13.5,0.165,0.186,0.351
2025-01-19,LAL,Away,LAC,LAC,L,102,116,4.5,0.178,0.2,0.378
2025-01-17,LAL,Home,BKN,LAL,W,102,101,-9.5,0.122,0.133,0.255
2025-01-15,LAL,Home,MIA,LAL,W,117,108,-4.5,0.149,0.096,0.245
2025-01-13,LAL,Home,SAS,LAL,L,102,126,-4.5,0.191,0.187,0.378
2025-01-07,LAL,Away,DAL,DAL,L,97,118,-6.5,0.182,0.089,0.271
2025-01-05,LAL,Away,HOU,HOU,L,115,119,4.5,0.033,0.055,0.088
2025-01-03,LAL,Home,ATL,LAL,W,119,102,-3,0.158,0.183,0.341
2025-01-02,LAL,Home,POR,LAL,W,114,106,-6.5,0.214,0.212,0.426
2024-12-31,LAL,Home,CLE,LAL,L,110,122,4.5,0.15,0.163,0.313
2024-12-28,LAL,Home,SAC,LAL,W,132,122,3.5,0.082,0.163,0.245
2024-12-25,LAL,Away,GSW,GSW,W,115,113,4,0.096,0.105,0.201
2024-12-23,LAL,Home,DET,LAL,L,114,117,-6.5,0.134,0.194,0.328
2024-12-21,LAL,Away,SAC,SAC,W,103,99,4,0.177,0.135,0.312
2024-12-19,LAL,Away,SAC,SAC,W,113,100,4.5,0.118,0.173,0.291
2024-12-15,LAL,Home,MEM,LAL,W,116,110,2.5,0.174,0.211,0.385
2024-12-13,LAL,Away,MIN,MIN,L,87,97,8.5,0.121,0.224,0.345
2024-12-08,LAL,Home,POR,LAL,W,107,98,-7,0.147,0.179,0.326
2024-12-06,LAL,Away,ATL,ATL,L,132,134,3.5,0.168,0.204,0.372
2024-12-04,LAL,Away,MIA,MIA,L,93,134,3.5,0.128,0.203,0.331
2024-12-02,LAL,Away,MIN,MIN,L,80,109,7.5,0.122,0.167,0.289
2024-12-01,LAL,Away,UTA,UTA,W,105,104,-5.5,0.151,0.118,0.269
2024-11-29,LAL,Home,OKC,LAL,L,93,101,3,0.154,0.174,0.328
2024-11-27,LAL,Away,SAS,SAS,W,119,101,-2,0.207,0.165,0.372
2024-11-26,LAL,Away,PHX,PHX,L,100,127,2.5,0.128,0.211,0.339
2024-11-23,LAL,Home,DEN,LAL,L,102,127,-4,0.168,0.202,0.37
2024-11-21,LAL,Home,ORL,LAL,L,118,119,-5,0.165,0.189,0.354
2024-11-19,LAL,Home,UTA,LAL,W,124,118,-10.5,0.182,0.182,0.364
2024-11-16,LAL,Away,NOP,NOP,W,104,99,-8,0.156,0.133,0.289
2024-11-15,LAL,Away,SAS,SAS,W,120,115,-2.5,0.167,0.155,0.322
2024-11-13,LAL,Home,MEM,LAL,W,128,123,-7.5,0.133,0.173,0.306
2024-11-10,LAL,Home,TOR,LAL,W,123,103,-10,0.125,0.114,0.239
2024-11-08,LAL,Home,PHI,LAL,W,116,106,-7.5,0.087,0.172,0.259
2024-11-06,LAL,Away,MEM,MEM,L,114,131,4,0.213,0.202,0.415
2024-11-04,LAL,Away,DET,DET,L,103,115,-6.5,0.155,0.144,0.299
2024-11-01,LAL,Away,TOR,TOR,W,131,125,-9,0.176,0.176,0.352
2024-10-30,LAL,Away,CLE,CLE,L,110,134,4,0.211,0.2,0.411
2024-10-28,LAL,Away,PHX,PHX,L,105,109,4.5,0.177,0.214,0.391
2024-10-26,LAL,Home,SAC,LAL,W,131,127,-1,0.15,0.252,0.402
2024-10-25,LAL,Home,PHX,LAL,W,123,116,-1.5,0.248,0.17,0.418
2024-10-22,LAL,Home,MIN,LAL,W,110,103,1,0.211,0.16,0.371
2025-04-18,ATL,Home,MIA,ATL,L,114,123,2,0.20,0.162,0.364
2025-04-15,ATL,Away,ORL,ORL,L,95,120,6,0.09,0.093,0.185
2025-04-13,ATL,Home,ORL,ATL,W,117,105,3.5,0.18,0.112,0.296
2025-04-11,ATL,Away,PHI,PHI,W,124,110,-11.5,0.21,0.12,0.33
2025-04-10,ATL,Away,BKN,BKN,W,133,109,-13.5,0.26,0.208,0.468
2025-04-08,ATL,Away,ORL,ORL,L,112,119,5.5,0.20,0.125,0.325
2025-04-06,ATL,Home,UTA,ATL,W,147,134,-13.5,0.17,0.18,0.348
2025-04-05,ATL,Home,NYK,ATL,L,105,121,1.5,0.22,0.17,0.391
2025-04-02,ATL,Away,DAL,DAL,L,118,120,3.5,0.13,0.147,0.274
2025-04-01,ATL,Home,POR,ATL,L,113,127,-6,0.18,0.183,0.366
2025-03-30,ATL,Away,MIL,MIL,W,145,124,4.5,0.20,0.078,0.274
2025-03-27,ATL,Away,MIA,MIA,L,112,122,1,0.19,0.062,0.256
2025-03-25,ATL,Away,HOU,HOU,L,114,121,7.5,0.09,0.146,0.234
2025-03-23,ATL,Home,PHI,ATL,W,132,119,-10.5,0.22,0.163,0.383
2025-03-22,ATL,Home,GSW,ATL,W,124,115,3,0.17,0.153,0.323
2025-03-18,ATL,Away,CHA,CHA,W,134,102,-8,0.19,0.155,0.349
2025-03-16,ATL,Away,BKN,BKN,L,114,122,-6.5,0.20,0.11,0.314
2025-03-14,ATL,Home,LAC,ATL,L,98,121,5,0.21,0.158,0.371
2025-03-12,ATL,Home,CHA,ATL,W,123,110,-7.5,0.14,0.086,0.221
2025-03-10,ATL,Home,PHI,ATL,W,132,123,-9.5,0.12,0.1,0.22
2025-03-08,ATL,Home,IND,ATL,W,120,118,1,0.20,0.192,0.39
2025-03-06,ATL,Home,IND,ATL,W,124,118,-2,0.14,0.144,0.287
2025-03-04,ATL,Home,MIL,ATL,L,121,127,5,0.19,0.174,0.359
2025-03-03,ATL,Away,MEM,MEM,W,132,130,8,0.17,0.131,0.301
2025-02-28,ATL,Home,OKC,ATL,L,119,135,11,0.19,0.111,0.3
2025-02-26,ATL,Away,MIA,MIA,L,109,131,3,0.08,0.087,0.162
2025-02-24,ATL,Home,MIA,ATL,W,98,86,-2.5,0.21,0.137,0.345
2025-02-23,ATL,Home,DET,ATL,L,143,148,2,0.18,0.182,0.362
2025-02-20,ATL,Home,ORL,ATL,L,108,114,1,0.14,0.152,0.295
2025-02-12,ATL,Away,NYK,NYK,L,148,149,8,0.20,0.13,0.33
2025-02-10,ATL,Away,ORL,ORL,W,112,106,6.5,0.11,0.133,0.246
2025-02-08,ATL,Away,WAS,WAS,W,125,111,-7,0.19,0.2,0.39
2025-02-07,ATL,Home,MIL,ATL,W,115,110,2.5,0.16,0.14,0.298
2025-02-05,ATL,Home,SAS,ATL,L,125,126,4.5,0.14,0.206,0.348
2025-02-03,ATL,Away,DET,DET,W,132,130,4.5,0.18,0.115,0.299
2025-02-01,ATL,Away,IND,IND,L,127,132,9.5,0.16,0.129,0.286
2025-01-30,ATL,Away,CLE,CLE,L,115,137,11.5,0.13,0.149,0.277
2025-01-28,ATL,Home,HOU,ATL,L,96,100,5,0.19,0.15,0.336
2025-01-27,ATL,Away,MIN,MIN,L,92,100,10.5,0.16,0.149,0.304
2025-01-25,ATL,Home,TOR,ATL,L,94,117,-5.5,0.15,0.218,0.368
2025-01-23,ATL,Home,TOR,ATL,L,119,122,-5,0.14,0.098,0.235
2025-01-22,ATL,Home,DET,ATL,L,104,114,-4,0.19,0.15,0.339
2025-01-20,ATL,Away,NYK,NYK,L,110,119,7.5,0.17,0.143,0.308
2025-01-18,ATL,Away,BOS,BOS,W,119,115,9.5,0.16,0.145,0.302
2025-01-15,ATL,Away,CHI,CHI,W,110,94,6,0.19,0.165,0.357
2025-01-14,ATL,Home,PHX,ATL,W,122,117,2.5,0.17,0.15,0.317
2025-01-09,ATL,Away,PHX,PHX,L,115,123,6,0.14,0.125,0.262
2025-01-07,ATL,Away,UTA,UTA,W,124,121,-5.5,0.15,0.162,0.312
2025-01-04,ATL,Away,LAC,LAC,L,105,131,7,0.19,0.283,0.477
2025-01-03,ATL,Away,LAL,LAL,L,102,119,3,0.18,0.158,0.341
2025-01-01,ATL,Away,DEN,DEN,L,120,139,8,0.14,0.121,0.261
2024-12-29,ATL,Away,TOR,TOR,W,136,107,1,0.25,0.146,0.393
2024-12-28,ATL,Home,MIA,ATL,W,120,110,1,0.15,0.186,0.339
2024-12-26,ATL,Home,CHI,ATL,W,141,133,-5,0.20,0.152,0.354
2024-12-23,ATL,Home,MIN,ATL,W,117,104,3.5,0.20,0.134,0.33
2024-12-21,ATL,Home,MEM,ATL,L,112,128,1.5,0.18,0.193,0.369
2024-12-19,ATL,Away,SAS,SAS,L,126,133,1,0.17,0.104,0.271
2024-12-14,ATL,Away,MIL,MIL,L,102,110,3.5,0.16,0.173,0.328
2024-12-11,ATL,Away,NYK,NYK,W,108,100,8,0.17,0.103,0.276
2024-12-08,ATL,Home,DEN,ATL,L,111,141,-1,0.22,0.163,0.385
2024-12-06,ATL,Home,LAL,ATL,W,134,132,-3.5,0.20,0.168,0.372
2024-12-04,ATL,Away,MIL,MIL,W,119,104,4.5,0.18,0.087,0.263
2024-12-02,ATL,Home,NOP,ATL,W,124,112,-9,0.30,0.171,0.466
2024-11-30,ATL,Away,CHA,CHA,W,107,104,-5.5,0.14,0.122,0.266
2024-11-29,ATL,Home,CLE,ATL,W,117,101,5.5,0.16,0.18,0.342
2024-11-27,ATL,Away,CLE,CLE,W,135,124,9,0.21,0.154,0.364
2024-11-25,ATL,Home,DAL,ATL,L,119,129,-2.5,0.18,0.196,0.376
2024-11-22,ATL,Away,CHI,CHI,L,122,136,-2.5,0.17,0.193,0.358
2024-11-20,ATL,Away,GSW,GSW,L,97,120,7,0.20,0.178,0.376
2024-11-18,ATL,Away,SAC,SAC,W,109,108,4,0.14,0.094,0.238
2024-11-17,ATL,Away,POR,POR,L,110,114,-4,0.22,0.157,0.375
2024-11-15,ATL,Home,WAS,ATL,W,129,117,-9.5,0.25,0.2,0.448
2024-11-12,ATL,Away,BOS,BOS,W,117,116,16,0.16,0.082,0.237
2024-11-09,ATL,Home,CHI,ATL,L,113,125,-2.5,0.12,0.221,0.344
2024-11-08,ATL,Away,DET,DET,L,121,122,2.5,0.19,0.162,0.352
2024-11-06,ATL,Home,NYK,ATL,W,121,116,7,0.21,0.162,0.376
2024-11-04,ATL,Home,BOS,ATL,L,93,123,10,0.08,0.294,0.377
2024-11-03,ATL,Away,NOP,NOP,W,126,111,-1.5,0.17,0.109,0.274
2024-11-01,ATL,Home,SAC,ATL,L,115,123,6,0.15,0.225,0.372
2024-10-30,ATL,Away,WAS,WAS,L,120,133,-5.5,0.14,0.171,0.315
2024-10-28,ATL,Home,WAS,ATL,L,119,121,-8,0.18,0.125,0.308
2024-10-27,ATL,Away,OKC,OKC,L,104,128,10.5,0.09,0.175,0.269
2024-10-25,ATL,Home,CHA,ATL,W,125,120,-5.5,0.25,0.136,0.388
2024-10-23,ATL,Home,BKN,ATL,W,120,116,-7,0.21,0.144,0.35
2025-05-16,BOS,Away,NYK,NYK,L,81,119,3,0.13,0.143,0.28
2025-05-14,BOS,Home,NYK,BOS,W,127,102,-5,0.07,0.069,0.14
2025-05-12,BOS,Away,NYK,NYK,L,113,121,-5.5,0.16,0.065,0.23
2025-05-10,BOS,Away,NYK,NYK,W,115,93,-6,0.09,0.118,0.21
2025-05-07,BOS,Home,NYK,BOS,L,90,91,-10,0.16,0.128,0.29
2025-05-05,BOS,Home,NYK,BOS,L,105,108,-9,0.08,0.078,0.16
2025-04-29,BOS,Home,ORL,BOS,W,120,89,-11.5,0.07,0.12,0.19
2025-04-27,BOS,Away,ORL,ORL,W,107,98,-8,0.12,0.118,0.24
2025-04-25,BOS,Away,ORL,ORL,L,93,95,-6,0.15,0.146,0.29
2025-04-23,BOS,Home,ORL,BOS,W,109,100,-10,0.10,0.102,0.21
2025-04-20,BOS,Home,ORL,BOS,W,103,86,-12.5,0.22,0.059,0.28
2025-04-13,BOS,Home,CHA,BOS,W,93,86,-10.5,0.14,0.247,0.39
2025-04-11,BOS,Home,CHA,BOS,W,130,94,-20,0.08,0.077,0.16
2025-04-09,BOS,Away,ORL,ORL,L,76,96,8,0.16,0.115,0.27
2025-04-08,BOS,Away,NYK,NYK,W,119,117,-2,0.12,0.15,0.27
2025-04-06,BOS,Home,WAS,BOS,W,124,90,-19,0.09,0.112,0.20
2025-04-04,BOS,Home,PHX,BOS,W,123,103,-15,0.04,0.1,0.14
2025-04-02,BOS,Home,MIA,BOS,L,103,124,-10,0.07,0.085,0.16
2025-03-31,BOS,Away,MEM,MEM,W,117,103,-4,0.13,0.284,0.41
2025-03-29,BOS,Away,SAS,SAS,W,121,111,-12.5,0.12,0.115,0.23
2025-03-26,BOS,Away,PHX,PHX,W,132,102,-4.5,0.12,0.148,0.27
2025-03-24,BOS,Away,SAC,SAC,W,113,95,-5,0.14,0.108,0.25
2025-03-23,BOS,Away,POR,POR,W,129,116,-6.5,0.10,0.187,0.29
2025-03-21,BOS,Away,UTA,UTA,W,121,99,-15,0.19,0.177,0.37
2025-03-18,BOS,Home,BKN,BOS,W,104,96,-13.5,0.14,0.141,0.28
2025-03-15,BOS,Away,BKN,BKN,W,115,113,-11.5,0.06,0.131,0.19
2025-03-14,BOS,Away,MIA,MIA,W,103,91,-8,0.11,0.141,0.25
2025-03-12,BOS,Home,OKC,BOS,L,112,118,-3,0.09,0.083,0.17
2025-03-10,BOS,Home,UTA,BOS,W,114,108,-15.5,0.17,0.124,0.30
2025-03-08,BOS,Home,LAL,BOS,W,111,101,-6,0.14,0.065,0.21
2025-03-06,BOS,Home,PHI,BOS,W,123,105,-13.5,0.11,0.086,0.20
2025-03-05,BOS,Home,POR,BOS,W,128,118,-9.5,0.05,0.096,0.15
2025-03-02,BOS,Home,DEN,BOS,W,110,103,-5.5,0.12,0.108,0.23
2025-02-28,BOS,Home,CLE,BOS,L,116,123,-1.5,0.09,0.065,0.15
2025-02-26,BOS,Away,DET,DET,L,97,117,-4.5,0.08,0.211,0.29
2025-02-25,BOS,Away,TOR,TOR,W,111,101,-10,0.16,0.181,0.34
2025-02-23,BOS,Home,NYK,BOS,W,118,105,-7.5,0.12,0.137,0.25
2025-02-20,BOS,Away,PHI,PHI,W,124,104,-6.5,0.13,0.116,0.24
2025-02-12,BOS,Home,SAS,BOS,W,116,103,-8,0.07,0.124,0.20
2025-02-10,BOS,Away,MIA,MIA,W,103,85,-8.5,0.10,0.143,0.24
2025-02-08,BOS,Away,NYK,NYK,W,131,104,-3,0.07,0.145,0.22
2025-02-06,BOS,Home,DAL,BOS,L,120,127,-12.5,0.10,0.096,0.19
2025-02-04,BOS,Away,CLE,CLE,W,112,105,1.5,0.18,0.131,0.31
2025-02-02,BOS,Away,PHI,PHI,W,118,110,-12.5,0.10,0.137,0.23
2025-01-31,BOS,Away,NOP,NOP,W,118,116,-12,0.13,0.136,0.26
2025-01-29,BOS,Home,CHI,BOS,W,122,100,-14.5,0.14,0.163,0.30
2025-01-27,BOS,Home,HOU,BOS,L,112,114,-5.5,0.07,0.098,0.17
2025-01-25,BOS,Away,DAL,DAL,W,122,107,-9,0.13,0.128,0.26
2025-01-23,BOS,Away,LAL,LAL,L,96,117,-6.5,0.12,0.153,0.27
2025-01-22,BOS,Away,LAC,LAC,W,117,113,-12,0.11,0.173,0.29
2025-01-20,BOS,Away,GSW,GSW,W,125,85,-9,0.18,0.139,0.32
2025-01-18,BOS,Home,ATL,BOS,L,115,119,-9.5,0.15,0.157,0.30
2025-01-17,BOS,Home,ORL,BOS,W,121,94,-15,0.07,0.06,0.13
2025-01-15,BOS,Away,TOR,TOR,L,97,110,-14,0.11,0.141,0.25
2025-01-12,BOS,Home,NOP,BOS,W,120,119,-14.5,0.07,0.141,0.21
2025-01-10,BOS,Home,SAC,BOS,L,97,114,-12,0.07,0.121,0.19
2025-01-07,BOS,Away,DEN,DEN,W,118,106,-10.5,0.14,0.129,0.27
2025-01-05,BOS,Away,OKC,OKC,L,92,105,1,0.11,0.158,0.27
2025-01-03,BOS,Away,HOU,HOU,W,109,86,-3.5,0.08,0.103,0.18
2025-01-02,BOS,Away,MIN,MIN,W,118,115,-3,0.12,0.081,0.20
2024-12-31,BOS,Home,TOR,BOS,W,125,71,-17,0.21,0.11,0.32
2024-12-29,BOS,Home,IND,BOS,L,114,123,-10.5,0.13,0.155,0.29
2024-12-27,BOS,Home,IND,BOS,W,142,105,-12,0.15,0.123,0.27
2024-12-25,BOS,Home,PHI,BOS,L,114,118,-10.5,0.19,0.177,0.37
2024-12-23,BOS,Away,ORL,ORL,L,104,108,-8.5,0.26,0.175,0.43
2024-12-21,BOS,Away,CHI,CHI,W,123,98,-12,0.13,0.174,0.30
2024-12-19,BOS,Home,CHI,BOS,L,108,117,-14.5,0.09,0.072,0.17
2024-12-15,BOS,Away,WAS,WAS,W,112,98,-17.5,0.18,0.17,0.35
2024-12-12,BOS,Home,DET,BOS,W,123,99,-11.5,0.09,0.138,0.23
2024-12-07,BOS,Home,MEM,BOS,L,121,127,-7,0.08,0.22,0.30
2024-12-06,BOS,Home,MIL,BOS,W,111,105,-8,0.11,0.064,0.17
2024-12-04,BOS,Home,DET,BOS,W,130,120,-12.5,0.15,0.13,0.28
2024-12-02,BOS,Home,MIA,BOS,W,108,89,-9.5,0.13,0.133,0.27
2024-12-01,BOS,Away,CLE,CLE,L,111,115,2,0.17,0.108,0.27
2024-11-29,BOS,Away,CHI,CHI,W,138,129,-12.5,0.06,0.117,0.17
2024-11-25,BOS,Home,LAC,BOS,W,126,94,-10.5,0.11,0.15,0.26
2024-11-24,BOS,Home,MIN,BOS,W,107,105,-8,0.18,0.089,0.27
2024-11-22,BOS,Away,WAS,WAS,W,108,96,-15.5,0.14,0.176,0.32
2024-11-19,BOS,Home,CLE,BOS,W,120,117,-7,0.11,0.074,0.18
2024-11-16,BOS,Home,TOR,BOS,W,126,123,-16.5,0.08,0.165,0.25
2024-11-13,BOS,Away,BKN,BKN,W,139,114,-10,0.16,0.133,0.29
2024-11-12,BOS,Home,ATL,BOS,L,116,117,-16,0.08,0.155,0.24
2024-11-10,BOS,Away,MIL,MIL,W,113,107,-5,0.19,0.165,0.35
2024-11-08,BOS,Home,BKN,BOS,W,108,104,-13.5,0.16,0.139,0.30
2024-11-06,BOS,Home,GSW,BOS,L,112,118,-7,0.11,0.135,0.24
2024-11-04,BOS,Away,ATL,ATL,W,123,93,-10,0.29,0.083,0.38
2024-11-02,BOS,Away,CHA,CHA,W,113,103,-10,0.17,0.179,0.35
2024-11-01,BOS,Away,CHA,CHA,W,124,109,-10.5,0.19,0.149,0.34
2024-10-30,BOS,Away,IND,IND,L,132,135,-6.5,0.16,0.179,0.34
2024-10-28,BOS,Home,MIL,BOS,W,119,108,-9,0.18,0.167,0.34
2024-10-26,BOS,Away,DET,DET,W,124,118,-12.5,0.11,0.167,0.28
2024-10-24,BOS,Away,WAS,WAS,W,122,102,-14,0.21,0.174,0.39
2024-10-22,BOS,Home,NYK,BOS,W,132,109,-6,0.14,0.051,0.19
2025-04-13,BKN,Home,NYK,BKN,L,105,113,4.5,0.19,0.165,0.353
2025-04-11,BKN,Away,MIN,MIN,L,91,117,21.5,0.09,0.131,0.225
2025-04-10,BKN,Home,ATL,BKN,L,109,133,13.5,0.21,0.26,0.468
2025-04-08,BKN,Home,NOP,BKN,W,119,114,-1.5,0.24,0.175,0.41
2025-04-06,BKN,Home,TOR,BKN,L,109,120,2,0.15,0.193,0.341
2025-04-03,BKN,Home,MIN,BKN,L,90,105,14,0.16,0.148,0.309
2025-03-31,BKN,Away,DAL,DAL,W,113,109,9.5,0.14,0.064,0.202
2025-03-29,BKN,Away,WAS,WAS,W,115,112,2.5,0.12,0.112,0.236
2025-03-28,BKN,Home,LAC,BKN,L,100,132,13,0.18,0.189,0.365
2025-03-26,BKN,Home,TOR,BKN,L,86,116,-2.5,0.18,0.304,0.488
2025-03-24,BKN,Home,DAL,BKN,L,101,120,3,0.18,0.18,0.36
2025-03-22,BKN,Away,IND,IND,L,103,108,13,0.15,0.162,0.312
2025-03-20,BKN,Away,IND,IND,L,99,105,8,0.15,0.231,0.376
2025-03-18,BKN,Away,BOS,BOS,L,96,104,13.5,0.14,0.138,0.279
2025-03-16,BKN,Home,ATL,BKN,W,122,114,6.5,0.11,0.204,0.314
2025-03-15,BKN,Home,BOS,BKN,L,113,115,11.5,0.13,0.06,0.191
2025-03-13,BKN,Away,CHI,CHI,L,110,116,1.5,0.10,0.135,0.23
2025-03-11,BKN,Away,CLE,CLE,L,104,109,14.5,0.12,0.191,0.309
2025-03-10,BKN,Home,LAL,BKN,W,111,108,5.5,0.14,0.138,0.278
2025-03-08,BKN,Away,CHA,CHA,L,102,105,-5,0.19,0.151,0.337
2025-03-06,BKN,Home,GSW,BKN,L,119,121,11,0.16,0.125,0.283
2025-03-04,BKN,Away,SAS,SAS,L,113,127,3.5,0.15,0.226,0.375
2025-03-01,BKN,Away,DET,DET,L,94,115,12.5,0.19,0.24,0.434
2025-02-28,BKN,Home,POR,BKN,L,102,121,1.5,0.21,0.2,0.409
2025-02-26,BKN,Home,OKC,BKN,L,121,129,17,0.15,0.16,0.313
2025-02-24,BKN,Away,WAS,WAS,L,99,107,-2.5,0.15,0.161,0.31
2025-02-22,BKN,Away,PHI,PHI,W,105,103,11,0.14,0.174,0.314
2025-02-20,BKN,Home,CLE,BKN,L,97,110,12.5,0.07,0.168,0.242
2025-02-12,BKN,Home,PHI,BKN,W,100,96,-2,0.14,0.172,0.312
2025-02-10,BKN,Home,CHA,BKN,W,97,89,-5,0.11,0.176,0.286
2025-02-07,BKN,Home,MIA,BKN,W,102,86,5,0.12,0.097,0.215
2025-02-05,BKN,Home,WAS,BKN,L,102,119,-5.5,0.16,0.125,0.284
2025-02-04,BKN,Home,HOU,BKN,W,99,97,9,0.21,0.089,0.298
2025-02-01,BKN,Away,HOU,HOU,W,110,98,13,0.13,0.167,0.299
2025-01-29,BKN,Away,CHA,CHA,W,104,83,1.5,0.15,0.133,0.287
2025-01-27,BKN,Home,SAC,BKN,L,96,110,12,0.16,0.163,0.324
2025-01-25,BKN,Home,MIA,BKN,L,97,106,7,0.18,0.12,0.304
2025-01-22,BKN,Home,PHX,BKN,L,84,108,13,0.16,0.143,0.298
2025-01-21,BKN,Home,NYK,BKN,L,95,99,11.5,0.20,0.194,0.396
2025-01-19,BKN,Away,OKC,OKC,L,101,127,16.5,0.15,0.173,0.318
2025-01-17,BKN,Away,LAL,LAL,L,101,102,9.5,0.13,0.122,0.255
2025-01-15,BKN,Away,LAC,LAC,L,67,126,15.5,0.12,0.25,0.373
2025-01-14,BKN,Away,POR,POR,W,132,114,3.5,0.23,0.144,0.376
2025-01-12,BKN,Away,UTA,UTA,L,111,112,3.5,0.16,0.155,0.31
2025-01-10,BKN,Away,DEN,DEN,L,105,124,15,0.17,0.208,0.376
2025-01-08,BKN,Home,DET,BKN,L,98,113,9.5,0.15,0.284,0.433
2025-01-06,BKN,Home,IND,BKN,L,99,113,11,0.18,0.2,0.38
2025-01-04,BKN,Home,PHI,BKN,L,94,123,9,0.24,0.146,0.382
2025-01-02,BKN,Away,MIL,MIL,W,113,110,12.5,0.18,0.143,0.318
2025-01-01,BKN,Away,TOR,TOR,L,113,130,1,0.14,0.189,0.333
2024-12-29,BKN,Away,ORL,ORL,L,101,102,8.5,0.12,0.128,0.243
2024-12-27,BKN,Home,SAS,BKN,L,87,96,8,0.15,0.207,0.358
2024-12-26,BKN,Away,MIL,MIL,W,111,105,6.5,0.12,0.134,0.255
2024-12-23,BKN,Away,MIA,MIA,L,95,110,10,0.16,0.133,0.289
2024-12-21,BKN,Home,UTA,BKN,L,94,105,-1.5,0.22,0.22,0.438
